Municipi,Comarca,Població,Província,Comunitat Autònoma
Abella de la Conca,Pallars Jussà,183,Lleida,Catalunya
Abrera,Baix Llobregat,12538,Barcelona,Catalunya
Agramunt,Urgell,5411,Lleida,Catalunya
Aguilar de Segarra,Bages,282,Barcelona,Catalunya
Agullana,Alt Empordà,863,Girona,Catalunya
Aiguafreda,Vallès Oriental,2512,Barcelona,Catalunya
Aiguamúrcia,Alt Camp,930,Tarragona,Catalunya
Aiguaviva,Gironès,765,Girona,Catalunya
Aitona,Segrià,2567,Lleida,Catalunya
Albanyà,Alt Empordà,155,Girona,Catalunya
Albatàrrec,Segrià,2236,Lleida,Catalunya
Albesa,Noguera,1561,Lleida,Catalunya
Albinyana,Baix Penedès,2468,Tarragona,Catalunya
Albons,Baix Empordà,759,Girona,Catalunya
Alcanar,Montsià,9434,Tarragona,Catalunya
Alcanó,Segrià,238,Lleida,Catalunya
Alcarràs,Segrià,9707,Lleida,Catalunya
Alcoletge,Segrià,3435,Lleida,Catalunya
Alcover,Alt Camp,5144,Tarragona,Catalunya
Aldover,Baix Ebre,905,Tarragona,Catalunya
Alella,Maresme,9904,Barcelona,Catalunya
Alfara de Carles,Baix Ebre,376,Tarragona,Catalunya
Alfarràs,Segrià,2765,Lleida,Catalunya
Alforja,Baix Camp,1783,Tarragona,Catalunya
Alfés,Segrià,297,Lleida,Catalunya
Algerri,Noguera,404,Lleida,Catalunya
Alguaire,Segrià,3029,Lleida,Catalunya
Alins,Pallars Sobirà,272,Lleida,Catalunya
Alió,Alt Camp,458,Tarragona,Catalunya
Almacelles,Segrià,6826,Lleida,Catalunya
Almatret,Segrià,305,Lleida,Catalunya
Almenar,Segrià,3357,Lleida,Catalunya
Almoster,Baix Camp,1341,Tarragona,Catalunya
Alp,Cerdanya,1593,Girona,Catalunya
Alpens,Lluçanès,261,Barcelona,Catalunya
Alpicat,Segrià,6266,Lleida,Catalunya
Alt Àneu,Pallars Sobirà,414,Lleida,Catalunya
Altafulla,Tarragonès,5307,Tarragona,Catalunya
Alàs i Cerc,Alt Urgell,320,Lleida,Catalunya
Alòs de Balaguer,Noguera,132,Lleida,Catalunya
Amer,Selva,2332,Girona,Catalunya
Amposta,Montsià,21115,Tarragona,Catalunya
Anglesola,Urgell,1365,Lleida,Catalunya
Anglès,Selva,5654,Girona,Catalunya
Arbeca,Garrigues,2126,Lleida,Catalunya
Arbolí,Baix Camp,127,Tarragona,Catalunya
Arbúcies,Selva,6608,Girona,Catalunya
Arenys de Mar,Maresme,15941,Barcelona,Catalunya
Arenys de Munt,Maresme,9121,Barcelona,Catalunya
Argelaguer,Garrotxa,396,Girona,Catalunya
Argentona,Maresme,12536,Barcelona,Catalunya
