Cava,Puntuació,id,Municipi,id_cava
Jaume Serra,978.61,64912,Vilanova i la Geltrú,171
Codorniu,838.86,89954,Sant Sadurní d'Anoia,23
Parxet,803.53,66879,Tiana,276
Llopart,797.36,2664,Sant Sadurní d'Anoia,200
Freixenet,764.01,37253,Sant Sadurní d'Anoia,139
Maset del Lleó,741.4,70327,La Granada,6249
Juvè & Camps,730.57,114202,Sant Sadurní d'Anoia,190
Vallformosa,712.44,1026,Vilobí del Penedès,360
Castillo de Perelada,711.02,107669,Peralada,262
Mont-Ferrant,688.55,423,Blanes,249
Raventós i Blanc,684.74,98980,Sant Sadurní d'Anoia,388
Gramona,675.23,172882,Sant Sadurní d'Anoia,142
Mont Marçal,672.08,395,Castellví de la Marca,253
Sumarroca,668.58,68370,Subirats,500
Torelló,667.32,7467,Sant Sadurní d'Anoia,348
Covides,655.6,26308,Vilafranca del Penedès,99
Lacrima Baccus,655.5,207724,Sant Sadurní d'Anoia,417
Bach,654.43,38313,-,20
Mas Tinell,647.79,2378,Vilafranca del Penedès,229
Cavas Hill,640.87,23438,Moja-Olèrdola,160
Segura Viudas,639.92,216,Sant Sadurní d'Anoia,340
Recaredo,639.32,52979,Sant Sadurní d'Anoia,309
Marrugat,638.81,18480,Vilafranca del Penedès,424
Miquel Pons,638.31,12440,La Granada,421
Nadal,631.53,302,TORRELAVIT,259
Bertha,629.68,64533,Sant Sadurní d'Anoia,354
Pere Ventura,625.82,105254,Sant Sadurní d'Anoia,278
Rovellats,622.02,1047,Sant Martí Sarroca,329
Freixa Rigau,619.6,3332,Capmany,138
Alsina & Sardà,617.49,43036,El Pla del Penedès,9
Rondel,615.2,1974,Cervelló,320
Raimat,609.81,175531,Raimat,305
Castellblanch,605.63,116979,Sant Sadurní d'Anoia,76
Albert de Vilarnau,605.42,21582,Sant Sadurní d'Anoia,555
Canals Canals R,595.06,675,Castellví de Rosanes,307
Robert J. Mur,594.66,233,Sant Sadurní d'Anoia,315
Agustí Torelló,594.37,3,Sant Sadurní d'Anoia,1
Roger Goulart,594.25,504,Sant Esteve Sesrovires,317
Can Quetu,591.97,399,Sant Sadurní d'Anoia,56
Oriol Rossell,591.89,6619,Castellet i la Gornal,269
Capdevila Pujol,588.2,99,Sant Sadurní d'Anoia,393
Avinyó,583.73,68204,Avinyonet del Penedès,18
Mestres,580.92,5242,Sant Sadurní d'Anoia,239
Canals y Munné,578.92,142032,Sant Sadurní d'Anoia,61
Conde de Caralt,578.37,69446,Torrelavit,91
Baldús,575.44,515,Santa Fe del Penedès,22
Portell,574.15,98556,Sarral,293
Naveran,573.51,122,Torrelavit,260
Castell d'Or,567.63,20180,Vilafranca del Penedès,3353
Fonpinet,567.07,609,Sant Sadurní d'Anoia,134
Privat,560.6,12020,Tiana,296
Jaume Giró i Giró,558.89,175532,-,
Lavernoya,558.05,4208,Sant Sadurní d'Anoia,196
Cabré & Sabaté - M,557.25,32368,Tabernes Blanques,3529
Agusti Torelló Roca - AT Roca,556.92,113321,SANT SADURNÍ D'ANOIA,6059
Ventura Soler,555.79,4886,Sant Sadurní d'Anoia,364
Rimarts,544.86,28933,Sant Sadurní d'Anoia,313
Giró Ribot,541.48,129,Santa Fe del Penedès,150
Jané Ventura,540.34,150,El Vendrell,167
Albet i Noya,538.26,106875,Subirats,5
Rexach Baqués,537.72,122764,Font-Rubí,311
Mascaró,537.24,957,Vilafranca del Penedès,231
Celler de l'Avi,536.36,2707,Sant Sadurní d'Anoia,558
Ferret,534.43,11031,Font-rubí,130
Castellroig,532.94,53705,Subirats,77
Canals Domingo San Sadurní de Noya,529.27,2067,Sant Sadurní d'Anoia,63
Parés Baltà,528.43,23117,Pacs del Penedès,274
Gran Amat,525.46,11974,Garriguella,394
Castelo de Pedregosa,523.55,169337,Sant Sadurní d'Anoia,79
Coop. L'Arboç del Penedès,521.84,42792,Vilafranca del Penedès,420
J. Raventós Roig,517.87,59146,Sant Sadurní d'Anoia,509
Cava,517.8,1105,,3291
Vinya Silvia,515.92,31942,Montmeló,378
Signat,514.42,116931,Alella,341
Alta Alella,514.2,108546,Tiana,557
Pinord,514.06,112,Vilafranca del Penedès,288
Masia el Pujolet,513.33,82386,El Pla del Penedès,3268
Sogas Mascaró,513.12,25817,Vilafranca del Penedès,390
Martí Serdà,512.36,1014,-,217
Mont Ferrant - Parxet,511.91,115513,Tiana,6478
Emendis,511.65,24513,Barcelona,3389
Marquès de Gelida,510.26,8278,Sant Sadurní d'Anoia,210
Carles Andreu,509.97,70647,Pira,66
Loxarel,508.84,20685,Vilobí del Penedès,412
Puig Munts,502.54,274,Martorell,299
Jané Baqués,502.48,92250,El Pla del Penedès,166
Canals Casanovas,500.96,147158,Subirats,60
Montesquius,498.68,614,Sant Sadurní d'Anoia,251
Llàgrima d'Or,496.76,20720,Sant Sadurní d'Anoia,440
Mont Bató,495.71,378,-,401
Grimau de Pujades,493.19,1037,La Múnia,153
Massana & Noya,492.21,223,Subirats,237
Arestel,490.17,67627,"Neckarsulm, Germany",4965
Duc de Foix,488.64,605,Vilafranca del Penedès,432
Mas Codina,485.46,1124,Puigdàlber,220
Rusinés,484.13,21268,Sant Sadurní d'Anoia,332
Marqués de Monistrol,483.63,394,Sant Sadurní d'Anoia,211
Joan Sardà (M.),483.48,1869,Castellbisbal,177
Roura,483.01,1020,Alella,328
Arvicaretey,482.48,4035,Sant Sadurní d'Anoia,16
El Celler Vell,480.43,2206,Sant Sadurní d'Anoia,85
bebubble - (de Vallformosa),479.24,190100,Vilobí del Penedès,8154
Comte de Subirats,476.97,85070,Sant Sadurní d'Anoia,4795
Privat - Castillo de Perelada,476.4,138386,Peralada,8241
Raventós Rosell,475.11,368,Masquefa,397
