Cava,Puntuació,id,Municipi,id_cava,Comarca,Província,Població
Jaume Serra,978.61,64912,Vilanova i la Geltrú,171,Garraf,Barcelona,67733
Codorniu,838.86,89954,Sant Sadurní d'Anoia,23,Alt Penedès,Barcelona,12841
Parxet,803.53,66879,Tiana,276,Maresme,Barcelona,8945
Llopart,797.36,2664,Subirats,200,Alt Penedès,Barcelona,3104
Freixenet,764.01,37253,Sant Sadurní d'Anoia,139,Alt Penedès,Barcelona,12841
Maset del Lleó,741.4,70327,La Granada,6249,Alt Penedès,Barcelona,2208
Juvè & Camps,730.57,114202,Sant Sadurní d'Anoia,190,Alt Penedès,Barcelona,12841
Vallformosa,712.44,1026,Vilobí del Penedès,360,Alt Penedès,Barcelona,1102
Castillo de Perelada,711.02,107669,Peralada,262,Alt Empordà,Girona,1898
Mont-Ferrant,688.55,423,Blanes,249,Selva,Girona,39914
Raventós i Blanc,684.74,98980,Sant Sadurní d'Anoia,388,Alt Penedès,Barcelona,12841
Gramona,675.23,172882,Sant Sadurní d'Anoia,142,Alt Penedès,Barcelona,12841
Mont Marçal,672.08,395,Castellví de la Marca,253,Alt Penedès,Barcelona,1575
Sumarroca,668.58,68370,Subirats,500,Alt Penedès,Barcelona,3104
Torelló,667.32,7467,Sant Sadurní d'Anoia,348,Alt Penedès,Barcelona,12841
Covides,655.6,26308,Vilafranca del Penedès,99,Alt Penedès,Barcelona,40154
Lacrima Baccus,655.5,207724,Castellet i la Gornal,417,Alt Penedès,Barcelona,2382
Bach,654.43,38313,Sant Esteve Sesrovires,20,Baix Llobregat,Barcelona,7696
Mas Tinell,647.79,2378,Vilafranca del Penedès,229,Alt Penedès,Barcelona,40154
Cavas Hill,640.87,23438,Olèrdola,160,Alt Penedès,Barcelona,3768
Segura Viudas,639.92,216,TORRELAVIT,340,Alt Penedès,Barcelona,1422
Recaredo,639.32,52979,Sant Sadurní d'Anoia,309,Alt Penedès,Barcelona,12841
Marrugat,638.81,18480,Vilafranca del Penedès,424,Alt Penedès,Barcelona,40154
Miquel Pons,638.31,12440,La Granada,421,Alt Penedès,Barcelona,2208
Nadal,631.53,302,TORRELAVIT,259,Alt Penedès,Barcelona,1422
Bertha,629.68,64533,Sant Sadurní d'Anoia,354,Alt Penedès,Barcelona,12841
Pere Ventura,625.82,105254,Sant Sadurní d'Anoia,278,Alt Penedès,Barcelona,12841
Rovellats,622.02,1047,Sant Martí Sarroca,329,Alt Penedès,Barcelona,3261
Freixa Rigau,619.6,3332,Capmany,138,Alt Empordà,Girona,693
Alsina & Sardà,617.49,43036,El Pla del Penedès,9,Alt Penedès,Barcelona,1275
Rondel,615.2,1974,Cervelló,320,Baix Llobregat,Barcelona,9077
Raimat,609.81,175531,Lleida,305,Segrià,Lleida,144739
Castellblanch,605.63,116979,Sant Sadurní d'Anoia,76,Alt Penedès,Barcelona,12841
Albert de Vilarnau,605.42,21582,Sant Sadurní d'Anoia,555,Alt Penedès,Barcelona,12841
Canals Canals R,595.06,675,Castellví de Rosanes,307,Baix Llobregat,Barcelona,1933
Robert J. Mur,594.66,233,Sant Sadurní d'Anoia,315,Alt Penedès,Barcelona,12841
Agustí Torelló,594.37,3,Sant Sadurní d'Anoia,1,Alt Penedès,Barcelona,12841
